reportDate,strategy_return,equal_weight_return,strategy_cumulative_return,equal_weight_cumulative_return
2008/08/12,-0.01201942,-0.000527863,1.055541496,1.004138631
2008/08/13,0.019330741,0.006013796,1.075945895,1.010177316
2008/08/14,0.011575633,0.02283128,1.088400651,1.033240957
2008/08/15,-0.020245201,-0.009733177,1.06636576,1.023184239
2008/08/18,-0.007859741,-0.008409453,1.057984401,1.01457982
2008/08/19,-0.009231004,-0.021168918,1.048218143,0.993102263
2008/08/20,0.005703472,0.003252483,1.054196625,0.996332311
2008/08/21,0.005193047,0.002467671,1.059671118,0.998790931
2008/08/22,-0.002888298,0.007948278,1.056610472,1.006729599
2008/08/25,-0.007479188,-0.00573796,1.048707884,1.000953024
2008/08/26,0.004426017,0.004133292,1.053349483,1.005090255
2008/08/27,0.013155854,0.019270804,1.067207195,1.024459153
2008/08/28,0.018244641,0.030903821,1.086678007,1.056118856
2008/08/29,-0.006202578,-0.003687607,1.079937802,1.052224304
2008/09/01,-0.023100433,-0.025139641,1.054990771,1.025771762
2008/09/02,0.001255385,0.009505839,1.05631519,1.035522583
2008/09/03,-8.04E-05,0.004805553,1.056230231,1.040498842
2008/09/04,-0.004856589,-0.002111739,1.051100555,1.03830158
2008/09/05,-0.00761887,-0.012846332,1.043092356,1.024963213
2008/09/08,0.013503172,0.023133938,1.057177412,1.048674648
2008/09/09,-0.02538276,-0.018511837,1.030343332,1.029261754
2008/09/10,-0.004279342,-0.001590648,1.02593414,1.027624561
2008/09/11,0.015924731,-0.005016398,1.042271865,1.022469587
2008/09/12,0.015204282,0.007312136,1.05811886,1.029946024
2008/09/15,-0.005157996,-0.009948922,1.052661087,1.019699171
2008/09/16,-0.018721863,-0.031139974,1.032953311,0.987945765
2008/09/17,0.018828164,-0.003061163,1.052401925,0.984921502
2008/09/18,0.002850994,-0.01011686,1.055402316,0.97495719
2008/09/19,0.001491969,0.038202048,1.056976944,1.012202551
2008/09/22,0.01487666,0.029216835,1.072701231,1.041775906
2008/09/23,-0.006388268,-0.037681252,1.065848527,1.002520485
2008/09/25,-0.009359932,0.004514051,1.055872258,1.007045914
2008/09/26,0.000340525,-0.00509897,1.056231808,1.001911017
2008/09/29,-0.026063499,-0.038130143,1.028702712,0.963708007
2008/09/30,0.017155165,0.033022491,1.046350277,0.995532046
2008/10/01,-0.001774103,-0.004830533,1.044493944,0.990723095
2008/10/02,-0.031845239,-0.022949824,1.011231784,0.967986174
2008/10/03,-0.002407656,-0.00714765,1.008797086,0.961067348
2008/10/06,-0.031227014,-0.060988565,0.977295365,0.902453229
2008/10/07,-0.00078147,0.017702404,0.976531638,0.91842882
2008/10/08,-0.004902143,-0.011747282,0.97174454,0.907639778
2008/10/09,0.005515067,0.012828408,0.977103776,0.919283351
2008/10/10,0.021331085,-0.008561623,0.99794646,0.911412794
2008/10/13,0.009715982,0.022424731,1.007642489,0.931850981
2008/10/14,0.035799773,0.032224635,1.043715862,0.961879539
2008/10/15,-0.020894145,-0.039834753,1.021908311,0.923563305
2008/10/16,-0.0038605,-0.029680661,1.017963234,0.896151336
2008/10/17,-0.020876752,-0.019582882,0.996711468,0.87860211
2008/10/20,0.007848757,0.017484382,1.004534415,0.893963925
2008/10/21,0.025939406,0.012847945,1.030591441,0.905449524
2008/10/22,-0.02636438,-0.032704301,1.003420536,0.87583743
2008/10/23,-0.033437566,-0.033368728,0.969868596,0.846611849
2008/10/24,-0.048979411,-0.04803821,0.922365003,0.805942132
2008/10/27,0.005241058,-0.005396289,0.927199171,0.801593035
2008/10/28,-0.00759086,0.018233411,0.920160932,0.816208809
2008/10/29,0.048470101,0.063418637,0.964761225,0.86797166
2008/10/30,0.039539584,0.038792071,1.002907483,0.901642078
2008/10/31,0.019811407,0.016468355,1.022776491,0.91649064
2008/11/03,-0.002216255,0.01239841,1.020509757,0.927853666
2008/11/04,0.015484405,0.018802151,1.036311743,0.945299311
2008/11/05,-0.00466173,-0.021107835,1.031480738,0.925346088
2008/11/06,-0.014117096,-0.027605679,1.016919225,0.899801281
2008/11/07,-0.010941815,-0.008988544,1.005792283,0.891713378
2008/11/10,0.022655746,0.041786997,1.028579258,0.928975402
2008/11/11,-0.024045341,-0.030316839,1.003846719,0.900811805
